gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,costat,ggroup,gind,gsector,gsubind
003336,20150331,2014,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20160331,2015,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20170331,2016,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003708,20001231,2000,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20011231,2001,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20021231,2002,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20031231,2003,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20041231,2004,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20051231,2005,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20061231,2006,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20071231,2007,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20081231,2008,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20091231,2009,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20101231,2010,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20111231,2011,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20121231,2012,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20131231,2013,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20141231,2014,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20151231,2015,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003708,20161231,2016,INDL,C,D,STD,USD,A,2530,253010,25,25301040
003814,20001231,2000,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20011231,2001,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20021231,2002,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20031231,2003,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20041231,2004,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20051231,2005,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20061231,2006,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20071231,2007,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20081231,2008,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20091231,2009,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20101231,2010,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20111231,2011,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20121231,2012,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20131231,2013,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20141231,2014,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20151231,2015,INDL,C,D,STD,USD,A,5510,551010,55,55101010
003814,20161231,2016,INDL,C,D,STD,USD,A,5510,551010,55,55101010
004060,20001231,2000,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20011231,2001,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20021231,2002,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20031231,2003,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20041231,2004,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20051231,2005,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20061231,2006,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20071231,2007,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20081231,2008,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20091231,2009,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20101231,2010,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20111231,2011,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20121231,2012,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20131231,2013,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20141231,2014,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20151231,2015,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004060,20161231,2016,INDL,C,D,STD,USD,A,1510,151010,15,15101050
004201,20001031,2000,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20001031,2000,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20011031,2001,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20011031,2001,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20021031,2002,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20021031,2002,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20031031,2003,FS,C,D,STD,USD,A,4020,402030,40,40203010
